# repo	source	dest	action	note
# ---------------------------------------------------------------- interfaces
toolkit	src/datasource/domains.py	infrastructure/datasource/	split	discovery stays; the shape of a study goes to each domain
toolkit	src/analysis/errors/	infrastructure/runner/validation/	copy	validates a call against declared types
biobakery	provenance/runs.tsv	-	superseded	third provenance format
# ---------------------------------------------------------------- clients
toolkit	src/McpServer/mcp_server.py	clients/mcp-server/	rewritten	rebuilt on the catalog and the run interface; names no capability
toolkit	src/McpServer/context.py	clients/mcp-server/	superseded	per-call study state; inputs are declared paths under the run interface
toolkit	src/McpServer/derived.py	clients/mcp-server/	superseded	derived quantities belong to run_code, which is a capability
toolkit	src/McpServer/tools/platform/	clients/mcp-server/tools/	split	discovery becomes tools/data.py; scratch becomes a capability; scope is session state, not a tool
toolkit	src/McpServer/tools/secondary/pipelines.py	clients/mcp-server/tools/	superseded	submit, poll, cancel and collect are the run interface
toolkit	src/McpServer/sandbox.py	clients/mcp-server/	rewrite	becomes the run_code kernel in domains/statistics
toolkit	src/McpServer/run_sandbox.py	clients/mcp-server/	rewrite	same
toolkit	src/capabilities.py	clients/	rewritten	asks each site what it can run, which is what the server does at startup
toolkit	src/chat_client.py	clients/	copy
toolkit	src/providers.py	clients/	copy
toolkit	src/system_prompt.py	clients/	copy
toolkit	src/analysis/visualization/	domains/visualization/kernels/charting/	copy	A chart drawn inside a client cannot see data that may not leave the machine, and carries no record of what produced it. Domain-free, so its own domain.
toolkit	context/shared/	clients/context/	copy	8 files, product voice
toolkit	context/frameworks/	clients/context/	copy	how to conduct an analysis
toolkit	webapp/	clients/webapp/	copy	untouched by this plan
toolkit	mo	clients/	copy	CLI entry point
toolkit	Dockerfile	clients/	copy
toolkit	docker-compose.yml	clients/	copy
toolkit	requirements.txt	clients/	copy
toolkit	examples/	clients/	copy
# ---------------------------------------------------------------- excluded
tumorspace	benchmarks/	-	exclude	74 MB of results
tumorspace	archive/ logs/ tmux/ meeting_notes/ srun	-	exclude	not source; srun is a 0-byte file
tumorspace	local/ config/cache/	-	exclude	local scratch
toolkit	.venv/ data/ outputs/ .cache/ .userdata/ .retired/	-	exclude
toolkit	src/analysis/frameworks/	-	exclude	only compiled artifacts remain, the source is gone
toolkit	versioning/	-	exclude	release tooling for the current product
# ---------------------------------------------------------------- second pass: everything the coverage check found
tumorspace	LICENSE	./LICENSE	copy	same licence for the whole tree
tumorspace	README.md	domains/spatial-transcriptomics/	copy	describes the pipeline
tumorspace	docs/	domains/spatial-transcriptomics/docs/	split	follows whatever each file describes
tumorspace	tests/	domains/spatial-transcriptomics/checks/	copy	per-workflow tests
tumorspace	pytest.ini	domains/spatial-transcriptomics/	copy
tumorspace	comparison/	domains/spatial-transcriptomics/checks/	copy	compares two versions of one method
tumorspace	benchmarking/	infrastructure/checks/	copy	timing and seed reproducibility
tumorspace	setup.sh	infrastructure/sites/	rewrite	machine setup, currently one script for one machine
tumorspace	slurm_container_setup.sh	infrastructure/sites/	rewrite	same
tumorspace	test_installation.sh	infrastructure/checks/	copy
tumorspace	run_pipeline.sh	-	superseded	the runner and the graph replace it
tumorspace	run_clean_e2e_workflow.sh	-	superseded	same
tumorspace	run_benchmark.sh	infrastructure/checks/	copy
tumorspace	CHANGELOG.md CURRENT_PRODUCTION_STATE.md	-	exclude	describe the old repository
tumorspace	maaslin3	-	exclude	empty directory
toolkit	README.md	clients/	copy
toolkit	documentation/	clients/documentation/	split	architecture.md becomes the infrastructure README
toolkit	.mcp.json .env .dockerignore	clients/	copy	product deployment
toolkit	.vscode	-	exclude
biobakery	README.md	domains/microbiome/	copy
-	.DS_Store	-	exclude	everywhere
# ---------------------------------------------------------------- third pass: files a per-directory row did not reach
biobakery	config/activate.sh	domains/microbiome/environments/	copy	sources env.sh and enters the conda env
tumorspace	bin/LICENSE_BOOSTER	domains/spatial-transcriptomics/environments/bin/	copy	licence for the gotree binary
tumorspace	bin/README.md	domains/spatial-transcriptomics/environments/bin/	copy
tumorspace	config/README.md config/hpc_profile.sh.example config/slurm_config.sh.example	infrastructure/sites/	copy	site examples
tumorspace	contracts/README.md	interfaces/catalog/	copy	describes the format
tumorspace	contracts/checks/README.md	infrastructure/checks/	copy
toolkit	.github/	clients/.github/	copy	deployment workflow for the product
toolkit	src/compute/__init__.py	infrastructure/executors/	copy	package marker
toolkit	src/compute/secondary/__init__.py src/compute/tertiary/__init__.py	domains/microbiome/catalog/	copy	package markers, deleted once the entries replace the modules
toolkit	src/compute/sites/__init__.py	infrastructure/sites/	copy	package marker
toolkit	src/datasource/__init__.py	infrastructure/datasource/	copy	package marker
toolkit	src/analysis/domains/__init__.py src/analysis/domains/microbiome/__init__.py	domains/microbiome/kernels/python/	copy	package markers
toolkit	src/analysis/domains/spatial_transcriptomics/__init__.py	domains/spatial-transcriptomics/kernels/python/	copy	package marker
toolkit	src/McpServer/tools/__init__.py src/McpServer/tools/secondary/__init__.py src/McpServer/tools/tertiary/__init__.py	clients/mcp-server/tools/	copy	package markers
tumorspace	.gitignore contracts/.gitignore tmux	-	exclude	repository bookkeeping and a stray file
toolkit	.gitignore	-	exclude
biobakery	.gitignore envs/exports/.gitkeep	-	exclude
